,country,year,born,male_born,female_born,birth_rate,fertility_rate,variation
684,lesotho,2020,,,,26.0,3.07,-1.22
685,lithuania,2020,25144.0,13029.0,12115.0,9.0,1.48,-8.07
686,luxembourg,2020,6459.0,3296.0,3163.0,10.2,1.36,1.49
687,latvia,2020,17552.0,9036.0,8516.0,9.2,1.55,-3.73
688,libya,2020,,,,17.81,2.18,-1.41
689,morocco,2020,,,,18.1,2.35,-1.22
690,monaco,2018,227.0,,,462.0,432.0,5.9
691,moldova,2020,30730.0,16111.0,14619.0,11.7,1.28,0.71
692,montenegro,2020,7097.0,3674.0,3423.0,11.4,1.75,-1.13
693,madagascar,2020,,,,32.15,3.98,-1.24
694,marshall_islands,2011,,,,29.0,4.05,-10.0
695,north_macedonia,2020,19031.0,9796.0,9235.0,9.2,1.31,-2.24
696,mali,2020,,,,40.56,5.69,-1.59
697,myanmar,2020,,,,17.23,2.12,-0.8
698,mongolia,2020,,,,22.56,2.83,-1.15
699,mauritania,2020,,,,32.84,4.45,-1.2
700,malt,2020,4414.0,2283.0,2131.0,8.6,1.13,-0.88
701,mauricio,2020,,,,10.6,1.44,2.86
702,maldives,2020,,,,13.06,1.82,-1.36
703,malawi,2020,,,,33.42,4.06,-1.74
704,mexico,2020,1629211.0,828944.0,800264.0,17.01,2.08,-1.14
705,malaysia,2020,,,,16.44,1.97,-0.91
706,mozambique,2020,,,,36.81,4.71,-1.46
707,namibia,2020,,,,27.66,3.29,-1.53
708,niger,2020,,,,45.21,6.74,-1.3
709,nigeria,2020,,,,37.01,5.25,-1.3
710,nicaragua,2020,,,,19.79,2.35,-1.18
711,netherlands,2020,168681.0,86497.0,82184.0,9.7,1.54,-1.91
712,norway,2020,52979.0,27063.0,25916.0,9.8,1.48,-3.27
713,nepal,2020,,,,19.26,1.85,-1.65
714,new_zealand,2020,,,,11.32,1.61,-6.4
715,oman,2020,,,,17.78,2.78,-2.08
716,panama,2020,,,,18.45,2.42,-0.9
717,peru,2020,421096.0,,,12.9,2.21,-0.94
718,papua_new_guinea,2020,,,,26.52,3.48,-1.22
719,philippines,2020,,,,19.89,2.49,-1.43
720,pakistan,2020,,,,27.38,3.39,-1.74
721,poland,2020,355309.0,182300.0,173009.0,9.4,1.39,-3.47
722,state_of_palestine,2020,,,,28.21,3.49,-1.99
723,palau,2020,,,,11.0,2.21,-0.9
724,paraguayan,2020,,,,20.09,2.38,-0.91
725,taste,2020,,,,9.23,1.83,-1.03
726,romania,2020,198302.0,102340.0,95962.0,10.3,1.8,1.69
727,serbian,2020,61692.0,31783.0,29909.0,8.9,1.48,-2.63
728,russia,2020,1940579.0,984552.0,928920.0,9.8,1.51,0.07
729,rwanda,2020,,,,30.73,3.93,-1.6
730,saudi_arabia,2020,,,,16.81,2.24,-1.63
731,solomon_islands,2020,,,,31.45,4.31,-1.19
732,seychelles,2020,,,,15.8,2.29,-2.97
733,sudan,2020,,,,31.49,4.29,-1.33
734,sweden,2020,113077.0,58255.0,54822.0,10.9,1.67,-2.34
735,singapore,2020,,,,8.5,1.1,-3.51
736,slovenia,2020,18767.0,9693.0,9074.0,8.9,1.59,-1.24
737,slovakia,2020,56650.0,28928.0,27722.0,10.4,1.59,1.27
738,sierra_leone,2020,,,,32.35,4.08,-2.21
739,san_marino,2020,232.0,121.0,107.0,6.4,1.26,
740,senegal,2020,,,,33.42,4.49,-1.43
741,somalia,2020,,,,41.41,5.89,-1.56
742,surinam,2020,,,,18.05,2.37,-0.96
743,south_sudan,2020,,,,34.3,4.54,-1.65
744,sao_tome_principe,2020,,,,30.81,4.21,-1.24
745,the_savior,2020,,,,17.83,2.0,-0.94
746,syria,2020,,,,22.71,2.73,-1.34
747,swatini,2020,,,,25.4,2.92,-1.32
748,chad,2020,,,,41.16,5.55,-1.7
749,togo,2020,,,,32.33,4.2,-1.41
750,thailand,2020,,,,9.99,1.5,-0.86
751,tajikistan,2020,,,,29.23,3.52,-1.01
752,east_timor,2020,,,,29.02,3.85,-2.28
753,turkmenistan,2020,,,,22.35,2.7,-1.42
754,tunisia,2020,,,,16.6,2.15,-1.06
755,tonga,2020,,,,23.75,3.48,-1.05
756,turkiye,2020,1112859.0,570892.0,541967.0,13.3,2.04,8.46
757,trinidad_tobago,2020,,,,12.24,1.7,-0.7
758,tanzania,2020,,,,35.98,4.77,-1.22
759,ukraine,2020,293457.0,151568.0,141889.0,7.1,1.22,6.75
760,uganda,2020,,,,36.67,4.7,-2.51
761,uruguay,2020,48200.0,,,13.62,1.95,-0.56
762,uzbekistan,2020,,,,24.6,2.9,4.13
763,saint_vincent_the_grenadines,2020,,,,13.94,1.85,-0.96
764,venezuela,2020,615132.0,316884.0,298248.0,17.3,2.23,-0.89
765,vietnam,2020,,,,16.12,2.05,-0.2
766,vanuatu,2020,,,,28.76,3.71,-0.99
767,samoa,2020,,,,23.86,3.79,-1.17
768,yemen,2020,,,,29.3,3.61,-2.32
769,south_africa,2020,,,,19.77,2.36,-0.97
770,zambia,2020,,,,35.44,4.5,-1.38
771,zimbabwe,2020,,,,28.98,3.46,-2.01
772,spain,2021,337380.0,174148.0,163232.0,7.12,1.19,0.47
773,germany,2021,795492.0,397385.0,375759.0,9.6,1.53,-0.65
774,united_kingdom,2020,712699.0,375379.0,355539.0,10.2,1.56,-4.29
775,france,2021,738594.0,376187.0,359588.0,10.9,1.83,-1.61
776,italy,2021,399431.0,208431.0,196461.0,6.8,1.24,-2.36
777,portugal,2021,79582.0,43451.0,41079.0,7.7,1.41,-1.4
778,usa,2020,,,,10.9,1.64,-4.02
779,japan,2020,,,,6.8,1.34,-1.47
780,china,2020,,,,8.52,1.7,0.24
781,andorra,2019,539.0,293.0,250.0,7.0,1.27,6.72
782,united_arab_emirates,2020,,,,10.13,1.37,-1.3
783,afghanistan,2020,,,,31.15,4.18,-3.36
784,antigua_barbuda,2020,,,,14.88,1.98,-0.45
785,albanian,2021,27211.0,14486.0,13589.0,9.7,1.34,-16.09
786,armenia,2020,36353.0,19054.0,17299.0,12.3,1.76,10.0
787,angola,2020,,,,39.79,5.37,-1.3
788,argentina,2020,,,,16.64,2.23,-0.62
789,austria,2021,86078.0,42934.0,40669.0,9.6,1.44,-1.37
790,australia,2020,,,,11.5,1.58,-4.59
791,azerbaijan,2021,112284.0,67407.0,59164.0,11.1,1.7,-6.08
792,bosnia_herzegovina,2020,29467.0,16790.0,15757.0,7.78,1.24,-0.88
793,barbados,2020,,,,10.6,1.63,0.31
794,bangladesh,2020,,,,17.55,1.99,-1.19
795,belgium,2021,118349.0,58507.0,55843.0,10.2,1.55,-3.13
796,burkina_faso,2020,,,,36.99,5.03,-1.57
797,bulgaria,2021,58678.0,30372.0,28714.0,8.5,1.56,-1.27
798,bahrain,2020,,,,13.27,1.94,-1.12
799,burundi,2020,,,,37.77,5.24,-1.58
800,benin,2020,,,,35.45,4.7,-1.41
801,brunei,2020,,,,14.08,1.8,-1.26
802,bolivian,2020,,,,21.19,2.65,-1.38
803,brazil,2020,,,,13.46,1.71,-0.76
804,bahamas,2020,,,,13.79,1.73,-0.57
805,bhutan,2020,,,,16.71,1.93,-1.18
806,botswana,2020,,,,23.65,2.8,-1.41
807,belarus,2020,87602.0,48240.0,45802.0,9.3,1.38,0.0
808,belize,2020,,,,20.25,2.25,-1.23
